Location,Indicator,Period,First Tooltip
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,43.2 [28.1-60.7]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,42.3 [28.5-57.8]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,41.3 [28.5-55.4]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,40.5 [28.6-53.1]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,39.6 [28.8-51.5]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,38.8 [28.6-49.8]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,38.0 [28.5-48.1]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,37.4 [28.3-47.3]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,36.8 [28.0-46.5]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,36.4 [27.7-46.0]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,36.0 [27.3-45.9]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,35.6 [27.0-45.5]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,35.3 [26.5-45.1]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,35.0 [26.1-44.9]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,34.7 [25.8-44.7]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,34.4 [25.4-44.7]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,34.2 [24.9-44.9]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,34.1 [24.5-45.3]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,34.1 [23.9-45.9]
Afghanistan,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,34.2 [23.2-46.7]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,24.8 [17.9-32.8]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,24.5 [18.4-31.5]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,24.2 [18.7-30.7]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,23.5 [18.3-29.7]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,22.9 [17.7-28.9]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,22.4 [17.2-28.4]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,21.9 [16.7-27.9]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,21.6 [16.2-27.5]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,21.3 [15.8-27.3]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,21.1 [15.6-27.2]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,21.5 [15.8-27.8]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,22.0 [16.0-28.8]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,22.5 [16.2-29.6]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,23.0 [16.5-30.7]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,23.5 [16.7-31.6]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,24.0 [16.9-32.5]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,24.6 [17.0-33.7]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,24.9 [17.0-34.6]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,25.5 [16.9-36.0]
Albania,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,26.1 [16.8-37.3]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,33.3 [15.9-56.8]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,33.1 [16.1-55.8]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,33.0 [16.4-55.6]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,32.8 [16.6-55.3]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,32.7 [16.9-54.8]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,32.7 [17.1-54.5]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,32.7 [17.2-54.5]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,32.8 [17.4-54.6]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,33.0 [17.6-54.2]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,33.3 [17.4-54.6]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,33.6 [17.5-54.6]
Algeria,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,34.0 [17.9-55.2]
