Location,Indicator,Period,First Tooltip
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,16.2 [11.2-23.5]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,16.0 [11.5-22.2]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,15.9 [11.9-21.0]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,15.9 [12.2-20.4]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,15.6 [12.4-19.8]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,15.5 [12.4-19.4]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,15.6 [12.5-19.3]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,15.6 [12.6-19.3]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,15.8 [12.8-19.5]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,16.1 [12.9-19.8]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,16.5 [13.2-20.3]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,17.0 [13.5-21.0]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,17.6 [13.9-21.9]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,18.2 [14.3-22.7]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,18.8 [14.7-23.7]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,19.5 [15.1-24.5]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,20.1 [15.4-25.6]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,20.7 [15.5-26.7]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,21.4 [15.6-28.3]
Western Pacific,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,22.3 [15.9-30.2]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,46.5 [39.3-53.2]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,46.2 [39.7-52.3]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,46.0 [40.2-51.4]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,45.7 [40.4-50.8]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,45.5 [40.3-50.4]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,45.5 [40.2-50.4]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,45.5 [40.0-50.6]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,45.5 [40.1-50.9]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,45.6 [40.1-51.0]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,45.6 [40.2-51.1]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,45.8 [40.2-51.3]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,46.0 [40.6-51.5]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,46.2 [40.8-51.5]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,46.3 [40.8-51.5]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2005,46.4 [41.1-51.4]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2004,46.5 [41.1-51.5]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2003,46.5 [41.2-51.6]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2002,46.6 [41.4-51.7]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2001,46.7 [41.5-52.0]
South-East Asia,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2000,47.0 [41.6-52.3]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2019,18.6 [14.3-23.9]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2018,18.3 [14.2-23.2]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2017,18.0 [14.2-22.7]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2016,17.7 [14.1-22.3]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2015,17.5 [14.0-21.9]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2014,17.4 [13.9-21.8]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2013,17.3 [13.9-21.6]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2012,17.2 [13.9-21.5]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2011,17.2 [13.9-21.5]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2010,17.2 [13.9-21.5]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2009,17.4 [14.0-21.7]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2008,17.5 [14.2-21.9]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,17.7 [14.3-22.1]
Europe,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2006,17.9 [14.5-22.3]
