Location,Indicator,Period,First Tooltip
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2019,45.8 [43.1-48.4]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2018,45.9 [43.6-48.2]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2017,46.1 [44.0-48.1]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2016,46.3 [44.3-48.1]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2015,46.4 [44.6-48.1]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2014,46.6 [44.8-48.2]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2013,46.7 [45.0-48.3]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2012,47.0 [45.2-48.6]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2011,47.2 [45.4-48.9]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2010,47.5 [45.7-49.2]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2009,47.9 [46.1-49.5]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2008,48.3 [46.5-50.0]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2007,48.7 [46.9-50.4]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2006,49.1 [47.3-50.8]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2005,49.4 [47.6-51.1]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2004,49.7 [47.9-51.5]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2003,50.0 [48.0-51.8]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2002,50.2 [48.1-52.0]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2001,50.3 [48.2-52.3]
Africa,Prevalence of anaemia in pregnant women (aged 15-49) (%),2000,50.4 [48.2-52.5]
Americas,Prevalence of anaemia in pregnant women (aged 15-49) (%),2019,18.9 [14.1-24.8]
Americas,Prevalence of anaemia in pregnant women (aged 15-49) (%),2018,18.9 [14.3-24.3]
Americas,Prevalence of anaemia in pregnant women (aged 15-49) (%),2017,19.0 [14.6-24.0]
Americas,Prevalence of anaemia in pregnant women (aged 15-49) (%),2016,19.0 [15.0-23.8]
